ID,Timestamp,Days,Hours,Minutes,RawData
C1,9001,0,2,30,###C1#T0#S2_4.11#T1#S3_25.3#T2#S1_-0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,9301,0,2,35,###C1#T0#S2_4.11#T1#S3_25.0#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,9601,0,2,40,###C1#T0#S2_4.11#T1#S3_25.0#T2#S1_-0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,9901,0,2,45,###C1#T0#S2_4.11#T1#S3_25.0#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,10201,0,2,50,###C1#T0#S2_4.11#T1#S3_24.8#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,10501,0,2,55,###C1#T0#S2_4.11#T1#S3_24.8#T2#S1_-0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,10801,0,3,0,###C1#T0#S2_4.11#T1#S3_24.8#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,11101,0,3,5,###C1#T0#S2_4.11#T1#S3_24.8#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,11401,0,3,10,###C1#T0#S2_4.11#T1#S3_24.5#T2#S1_-0.00_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,11701,0,3,15,###C1#T0#S2_4.11#T1#S3_24.5#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,12001,0,3,20,###C1#T0#S2_4.11#T1#S3_24.5#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,12301,0,3,25,###C1#T0#S2_4.11#T1#S3_24.5#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,12601,0,3,30,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,12901,0,3,35,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,13201,0,3,40,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,13501,0,3,45,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,13801,0,3,50,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,14101,0,3,55,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,14401,0,4,0,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,14701,0,4,5,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,15001,0,4,10,###C1#T0#S2_4.11#T1#S3_24.0#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,15301,0,4,15,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,15601,0,4,20,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,15901,0,4,25,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,16201,0,4,30,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,16501,0,4,35,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_-0.01_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,16801,0,4,40,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,17101,0,4,45,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,17401,0,4,50,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_-0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,17701,0,4,55,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,18001,0,5,0,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,18301,0,5,5,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,18601,0,5,10,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,18901,0,5,15,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,19201,0,5,20,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,19501,0,5,25,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,19801,0,5,30,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,20101,0,5,35,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_0.00_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,20401,0,5,40,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,20701,0,5,45,###C1#T0#S2_4.11#T1#S3_24.3#T2#S1_-0.01_A11#T3#S1_0.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
