ID,Timestamp,Days,Hours,Minutes,RawData
C1,1801,0,0,30,###C1#T0#S2_4.18#T1#S3_24.5#T2#S1_23.47_A11#T3#S1_6.93_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,1861,0,0,31,###C1#T0#S2_4.18#T1#S3_24.5#T2#S1_22.92_A11#T3#S1_6.74_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,1921,0,0,32,###C1#T0#S2_4.18#T1#S3_24.5#T2#S1_24.87_A11#T3#S1_7.33_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,1981,0,0,33,###C1#T0#S2_4.18#T1#S3_24.8#T2#S1_24.39_A11#T3#S1_7.20_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,2041,0,0,34,###C1#T0#S2_4.18#T1#S3_24.8#T2#S1_24.16_A11#T3#S1_7.14_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,2101,0,0,35,###C1#T0#S2_4.18#T1#S3_24.8#T2#S1_21.77_A11#T3#S1_6.40_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,2161,0,0,36,###C1#T0#S2_4.17#T1#S3_25.0#T2#S1_23.08_A11#T3#S1_6.82_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,2221,0,0,37,###C1#T0#S2_4.17#T1#S3_25.0#T2#S1_23.81_A11#T3#S1_7.04_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,2281,0,0,38,###C1#T0#S2_4.18#T1#S3_25.0#T2#S1_23.53_A11#T3#S1_6.96_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,2341,0,0,39,###C1#T0#S2_4.18#T1#S3_25.0#T2#S1_22.21_A11#T3#S1_6.56_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,2401,0,0,40,###C1#T0#S2_4.18#T1#S3_25.0#T2#S1_23.67_A11#T3#S1_7.00_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,2461,0,0,41,###C1#T0#S2_4.18#T1#S3_25.0#T2#S1_24.46_A11#T3#S1_7.23_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,2521,0,0,42,###C1#T0#S2_4.18#T1#S3_25.3#T2#S1_19.23_A11#T3#S1_5.65_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,2581,0,0,43,###C1#T0#S2_4.18#T1#S3_25.3#T2#S1_20.51_A11#T3#S1_6.06_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,2641,0,0,44,###C1#T0#S2_4.18#T1#S3_25.3#T2#S1_19.48_A11#T3#S1_5.76_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,2701,0,0,45,###C1#T0#S2_4.18#T1#S3_25.3#T2#S1_21.23_A11#T3#S1_6.29_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,2761,0,0,46,###C1#T0#S2_4.18#T1#S3_25.5#T2#S1_16.76_A11#T3#S1_4.94_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,2821,0,0,47,###C1#T0#S2_4.18#T1#S3_25.5#T2#S1_19.95_A11#T3#S1_5.91_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,2881,0,0,48,###C1#T0#S2_4.18#T1#S3_25.5#T2#S1_20.61_A11#T3#S1_6.12_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,2941,0,0,49,###C1#T0#S2_4.18#T1#S3_25.3#T2#S1_19.84_A11#T3#S1_5.89_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,3001,0,0,50,###C1#T0#S2_4.18#T1#S3_25.3#T2#S1_16.32_A11#T3#S1_4.81_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,3061,0,0,51,###C1#T0#S2_4.18#T1#S3_25.3#T2#S1_14.20_A11#T3#S1_4.18_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,3121,0,0,52,###C1#T0#S2_4.18#T1#S3_25.3#T2#S1_12.79_A11#T3#S1_3.78_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,3181,0,0,53,###C1#T0#S2_4.18#T1#S3_25.3#T2#S1_9.21_A11#T3#S1_2.70_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,3241,0,0,54,###C1#T0#S2_4.18#T1#S3_25.3#T2#S1_10.89_A11#T3#S1_3.21_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,3301,0,0,55,###C1#T0#S2_4.18#T1#S3_25.0#T2#S1_10.38_A11#T3#S1_3.04_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.01_A11#E#
C1,3361,0,0,56,###C1#T0#S2_4.17#T1#S3_25.0#T2#S1_8.32_A11#T3#S1_2.44_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
C1,3421,0,0,57,###C1#T0#S2_4.17#T1#S3_24.8#T2#S1_8.21_A11#T3#S1_2.41_A11#T4#S1_0.00_A11#T5#S1_0.00_A11#T6#S1_0.00_A11#E#
